Date,Symbol,Adj Close,Close,High,Low,Open,Volume,pct_ch,ADX,ATR,BollingerB,CCI,KST,MACD,RSI,WMA,DEMA,SMA,EMA,EVWMA,ZLEMA,HMA,VHF,SMI,AR,OBV,ChaikinAD,MFI,ROC
2010-01-04,HINDUNILVR.NS,206.46307373046875,264.70001220703125,266.20001220703125,264.1000061035156,264.79998779296875,668858.0,,,2.100006103515625,,,0.0,0.0,,,264.70001220703125,,264.70001220703125,264.70001220703125,,,,,0.0,668858.0,-286650.6514466743,,
2010-01-05,HINDUNILVR.NS,205.8000946044922,263.8500061035156,266.3999938964844,262.5,265.75,1392726.0,-0.0032112053808701635,,2.340004475911458,,,0.0,-0.025622547940984397,0.0,,264.41901845380295,,264.5454656427557,263.8500061035156,,,,,3.090909090909091,-723868.0,-715175.8601481102,,
2010-01-06,HINDUNILVR.NS,206.97007751464844,265.3500061035156,266.0,262.6000061035156,264.75,1682107.0,0.005685048191401254,,2.481336398654514,,,0.0,-0.0001892247586732232,67.0639248514375,,264.7079726404753,,264.6917457265302,265.3500061035156,,,,,1.25,958239.0,323777.4657443062,,0.00888532165679427
2010-01-07,HINDUNILVR.NS,206.54104614257807,264.79998779296875,267.25,264.1499938964844,265.1000061035156,2723548.0,-0.002072803082327046,,2.5638256926359957,,,0.0,0.0031588011572436514,52.24099104746005,,264.74080479378733,,264.7114261022463,264.79998779296875,,,,,0.45161290322580644,-1765309.0,-1257650.4753470393,,-0.007743903603327995
2010-01-08,HINDUNILVR.NS,207.4380645751953,265.95001220703125,267.0,264.1499938964844,265.1000061035156,4000986.0,0.004342992700443915,,2.6019830807532798,,,0.0,0.04039004722720119,68.8509317524304,,265.1449131655022,,264.9366235758436,265.95001220703125,267.20001220703125,,,,1.0,2235677.0,-204718.83541085827,,0.006408543436123728
2010-01-11,HINDUNILVR.NS,207.55506896972656,266.1000061035156,268.3500061035156,265.6000061035156,266.6000061035156,2251471.0,0.0005639928166938368,,2.621718669986176,,,0.0,0.07359223963459005,70.40016395324952,,265.491631596365,,265.148147671784,266.1000061035156,267.409102006392,,,,1.7058823529411764,4487148.0,-1637473.108138131,,-0.0037697552917370846
2010-01-12,HINDUNILVR.NS,204.4741058349609,262.1499938964844,266.75,260.54998779296875,266.0,3826930.0,-0.014844089126005766,,3.098824474925519,,,0.0,-0.020193491909503702,28.033606153101935,,264.4380547587389,,264.6030288035477,262.1499938964844,265.8710801305849,,,,0.4375,660218.0,-3489209.78487886,,-0.015519199017077474
2010-01-13,HINDUNILVR.NS,204.7471160888672,262.5,263.75,260.75,262.0,1917571.0,0.0013351367982630258,,3.0856478782687833,,,0.0,-0.0829884774757983,32.204919154055496,,263.7728339062089,,264.2206599301754,262.5,264.83997687175696,,,,1.1428571428571428,2577789.0,-3169614.6182121937,,0.016289611480226184
2010-01-14,HINDUNILVR.NS,199.71617126464844,256.04998779296875,263.6000061035156,255.3000030517578,262.6000061035156,3583983.0,-0.024571475074404714,,3.780895234733987,,,0.0,-0.32651879764346026,14.425698600301807,,261.15320817925846,,262.73508317795597,256.04998779296875,261.44179260032956,,,,1.3,-1006194.0,-6105903.262921533,,-0.02621263809319301
2010-01-15,HINDUNILVR.NS,199.9891357421875,256.3999938964844,258.75,255.8999938964844,257.75,4361271.0,0.0013669444257058405,,3.656776683904868,,,0.0,-0.5039232597023102,17.284858913943165,261.40908868963066,259.34657742481613,262.7850006103516,261.58324876314293,256.3999938964844,258.76146334380655,,,,0.7692307692307693,3355077.0,-8936907.01380233,,0.02624440280522252
